source,target,type
R-HSA-1640170,R-HSA-9663891,h
R-HSA-69481,R-HSA-9663891,h
R-HSA-1500620,R-HSA-9663891,h
R-HSA-912446,R-HSA-9663891,h
R-HSA-8953897,R-HSA-9663891,h
R-HSA-2262752,R-HSA-9663891,h
R-HSA-2559583,R-HSA-9663891,h
R-HSA-73894,R-HSA-9663891,h
R-HSA-5693532,R-HSA-9663891,h
R-HSA-5693571,R-HSA-9663891,h
R-HSA-9675135,R-HSA-9663891,h
R-HSA-9675136,R-HSA-9663891,h
R-HSA-74160,R-HSA-9663891,h
R-HSA-73857,R-HSA-9663891,h
R-HSA-212436,R-HSA-9663891,h
R-HSA-1474165,R-HSA-9663891,h
R-HSA-168256,R-HSA-9663891,h
R-HSA-168249,R-HSA-9663891,h
R-HSA-9711097,R-HSA-9663891,h
R-HSA-5621481,R-HSA-9663891,h
R-HSA-9609507,R-HSA-9663891,h
R-HSA-3858494,R-HSA-9663891,h
R-HSA-983712,R-HSA-9663891,h
R-HSA-400206,R-HSA-9663891,h
R-HSA-8951664,R-HSA-9663891,h
R-HSA-168643,R-HSA-9663891,h
R-HSA-9007101,R-HSA-9663891,h
R-HSA-1500931,R-HSA-9663891,h
R-HSA-2219528,R-HSA-9663891,h
R-HSA-6802957,R-HSA-9663891,h
R-HSA-210990,R-HSA-9663891,h
R-HSA-430116,R-HSA-9663891,h
R-HSA-76009,R-HSA-9663891,h
R-HSA-388841,R-HSA-9663891,h
R-HSA-354192,R-HSA-9663891,h
R-HSA-354194,R-HSA-9663891,h
R-HSA-157858,R-HSA-9663891,h
R-HSA-2990846,R-HSA-9663891,h
R-HSA-1280218,R-HSA-1640170,h
R-HSA-450385,R-HSA-1640170,h
R-HSA-109581,R-HSA-1640170,h
R-HSA-68867,R-HSA-1640170,h
R-HSA-9687139,R-HSA-1640170,h
R-HSA-422475,R-HSA-1640170,h
R-HSA-9612973,R-HSA-1640170,h
R-HSA-5620912,R-HSA-1640170,h
R-HSA-73884,R-HSA-1640170,h
R-HSA-73929,R-HSA-1640170,h
R-HSA-446203,R-HSA-1640170,h
R-HSA-68962,R-HSA-1640170,h
R-HSA-5576891,R-HSA-1640170,h
R-HSA-5621481,R-HSA-1640170,h
R-HSA-5620912,R-HSA-69620,h
R-HSA-1280218,R-HSA-69620,h
R-HSA-68867,R-HSA-69620,h
R-HSA-9687139,R-HSA-69620,h
R-HSA-68962,R-HSA-69620,h
R-HSA-109581,R-HSA-69620,h
R-HSA-75153,R-HSA-69620,h
R-HSA-9612973,R-HSA-69620,h
R-HSA-446203,R-HSA-69620,h
R-HSA-73884,R-HSA-69620,h
R-HSA-73929,R-HSA-69620,h
R-HSA-5619507,R-HSA-69620,h
R-HSA-5617472,R-HSA-69620,h
R-HSA-977225,R-HSA-69620,h
R-HSA-422475,R-HSA-69620,h
