,node,aPDist,pIn_Degree,aEigenvector_Centrality,pDegree_Centrality,aDegree,aIn_Degree,aBetweenness_Centrality,pDegree,aDegree_Centrality,pCloseness_Centrality,pPagerank,pOut_Degree,aCloseness_Centrality,pBetweenness_Centrality,aOut_Degree,pEigenvector_Centrality,aPagerank,hallmark
62,ACTG2,12.512900000001158,1,0.000925083779736281,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.18448986437760398,5.45666416852484e-05,0,0.15801647186467402,0.0,0.0,1.1543377244475e-06,8.522860318724301e-05,0
63,ACTIN,12.512900000001158,28,0.014644015313106,0.00682106598984771,13.0,13.0,0.0,43,0.00216378162450067,0.23061010437801,0.0007040983758518428,15,0.19115811786041603,0.0008135302331508112,0.0,0.00010401905960425699,0.00146925681333466,0
64,ACTL6A,10.859924013979393,1,2.71956184904173e-20,0.00142766497461929,7.0,0.0,0.0,9,0.00116511318242344,0.17169672177738196,6.22032206464564e-05,8,0.0,5.34104176383319e-06,7.0,3.48004352094943e-06,4.81339440286171e-05,2
65,ACTL6B,12.512900000001158,1,3.5354304037542395e-19,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.00015862944162436498,3.489978352805639e-05,0,0.00016644474034620502,0.0,0.0,8.511410216299318e-59,4.959672972266529e-05,0
66,ACTN1,10.452516392078902,71,0.0134362220680168,0.0231598984771574,17.0,6.0,0.000347752764604291,146,0.00282956058588549,0.245757142195471,0.00110148513849636,75,0.19515040208617498,0.00165909013173029,11.0,0.00018234749815349,0.000173803921318623,145
67,ACTN2,10.728807338991869,58,0.00861003693773245,0.0188769035532995,7.0,2.0,3.6877717254746894e-06,119,0.00116511318242344,0.235704539328871,0.0008612499191929152,61,0.183321844352962,0.000696086270870837,5.0,0.000166973602688072,0.0001386642997085,144
68,ACTN3,10.728808304210707,64,0.0087338713968766,0.0206218274111675,8.0,3.0,6.599848946037681e-06,130,0.0013315579227696401,0.23901041926760996,0.000978504050233864,66,0.18356968233806897,0.0012257454132933699,5.0,0.000173995078141394,0.000148743922258853,408
69,ACTN4,10.662762273257105,56,0.00861003693773245,0.0184010152284264,8.0,2.0,6.30223341848618e-06,116,0.0013315579227696401,0.235241920017136,0.000822313085416963,60,0.183321844352962,0.000466237115641533,6.0,0.0001666389692801,0.0001386642997085,148
70,ACTR2,12.509640905309864,25,0.0133568303544217,0.0055520304568527894,17.0,16.0,3.53018051019001e-06,35,0.00282956058588549,0.22779048130895999,0.000561721197840737,10,0.18983085549542497,9.441140162352758e-05,1.0,0.0031585746668466607,0.000554437433847598,532
71,ACTR3,12.512900000001158,21,0.0101154581614081,0.00491751269035533,12.0,12.0,0.0,31,0.0019973368841544607,0.220742387344952,0.0005271584974515,10,0.18441527480646397,0.000116676042666802,0.0,0.00166323103432831,0.00040844927012261104,532
72,ACTRT1,11.736670211349947,0,2.71956184904173e-20,0.000317258883248731,2.0,0.0,0.0,2,0.00033288948069241003,0.0,3.38707495131675e-05,2,0.0,0.0,2.0,2.6598156925935396e-60,4.81339440286171e-05,0
73,ACVR1,9.942821001830907,12,0.0007698721794038058,0.00634517766497462,28.0,6.0,0.000253846715909674,40,0.00466045272969374,0.18405368281439002,0.000167539850744731,28,0.153720331024205,0.000273581394581346,22.0,1.39351005287393e-06,0.000134763713924244,945
74,ACVR1B,10.737930404393687,8,0.000481703275288853,0.0023794416243654803,11.0,6.0,0.000189885292922796,15,0.0018308921438082602,0.17593936230669502,0.00012945986149338502,7,0.15048345284526501,0.000157816575925593,5.0,3.94722012595987e-07,0.000156777167401198,784
75,ACVR1C,11.209274671326686,2,0.00144095292095807,0.000793147208121827,5.0,2.0,1.62604688473983e-05,5,0.000832223701731025,0.201958702957871,6.50108569966954e-05,3,0.16526092598675501,2.01825426267951e-05,3.0,4.63120397639457e-06,0.000101055567199604,912
76,ACVR2A,11.20994097187582,19,0.000539985085538207,0.0047588832487309605,16.0,12.0,4.9455282154872214e-05,30,0.0026631158455392803,0.184129083749587,0.000196843446859943,11,0.152538775828016,0.00010020073093872099,4.0,1.41894061459691e-06,0.000216294631611846,512
77,ACVR2B,10.751235829589273,13,0.000498084652747137,0.0041243654822335,16.0,8.0,0.000118838566083783,26,0.0026631158455392803,0.183228329976658,0.00016522338625524698,13,0.151011959469634,0.000135359050774034,8.0,1.29455569678973e-06,0.000177479561199396,0
78,ACVRL1,11.296052421368254,15,0.000897091906148915,0.00491751269035533,7.0,3.0,1.55963235017113e-06,31,0.00116511318242344,0.21536132890883602,0.0001650868159967,16,0.15469738655509,0.00012909369802843702,4.0,1.4009084532627801e-05,0.00011168294985154699,817
79,AD5,11.177089116325813,5,0.00944217696430902,0.00142766497461929,9.0,5.0,0.00177581865787058,9,0.00149800266311585,0.21894128645569802,0.0004010300543516689,4,0.19235671902618803,0.00125205337746968,4.0,1.01708834154597e-05,0.000889141693348055,0
80,ADA,11.640283974039281,4,0.00143505949239356,0.000793147208121827,5.0,4.0,9.96316296972786e-06,5,0.000832223701731025,0.18896745572114396,5.7653425568264695e-05,1,0.160810840589617,6.84192223454754e-06,1.0,4.3214172433874394e-06,8.39844223178749e-05,949
81,ADAM10,10.194891862207028,3,0.000542300612181291,0.00285532994923858,18.0,3.0,0.00036765870423827103,18,0.00299600532623169,0.172470872384014,0.000115865650057071,15,0.149967349623858,0.000383492994475763,15.0,2.60433042812481e-07,0.000168897326519457,528
82,ADAM12,10.702663238475942,32,0.00355021335005551,0.0101522842639594,9.0,3.0,5.50173273346569e-06,64,0.00149800266311585,0.22501081022915698,0.000404780522927235,32,0.17097808440448198,5.932385004324711e-05,6.0,8.74170834771243e-05,6.85447282747021e-05,16
83,ADAM15,10.801948710268254,0,2.71956184904173e-20,0.000793147208121827,5.0,0.0,0.0,5,0.000832223701731025,0.0,3.38707495131675e-05,5,0.0,0.0,5.0,2.6598156925935396e-60,4.81339440286171e-05,821
84,ADAM17,9.792631469462826,9,0.0146898338534737,0.0050761421319797,32.0,9.0,0.00086917126774593,32,0.0053262316910785605,0.226256779981244,0.000115112896114054,23,0.197541218650783,0.000502310708912829,23.0,2.02875343267097e-05,0.00017635284571813401,917
85,ADAM19,11.59461376268957,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
86,ADAM2,11.279227591945741,0,2.71956184904173e-20,0.000317258883248731,2.0,0.0,0.0,2,0.00033288948069241003,0.0,3.38707495131675e-05,2,0.0,0.0,2.0,2.6598156925935396e-60,4.81339440286171e-05,16
87,ADAM23,11.30109868530565,0,2.71956184904173e-20,0.000317258883248731,2.0,0.0,0.0,2,0.00033288948069241003,0.0,3.38707495131675e-05,2,0.0,0.0,2.0,2.6598156925935396e-60,4.81339440286171e-05,16
88,ADAM33,11.562443268431057,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
89,ADAM9,10.630954235313999,0,2.71956184904173e-20,0.0009517766497461928,6.0,0.0,0.0,6,0.0009986684420772304,0.0,3.38707495131675e-05,6,0.0,0.0,6.0,2.6598156925935396e-60,4.81339440286171e-05,16
